Step,Time_stamp,Bacteria_Count,Glucose_Count,Metabolite_Count,Growth_Rate,Average_ATP,Min_ATP,Max_ATP,Total_ATP,ATP_StdDev,Total_Metabolites_Produced,Avg_Metabolites_Per_Bacteria,Avg_Metabolite_Concentration,Avg_Bacteria_X,Avg_Bacteria_Y,Bacteria_Spatial_Std,Avg_Glucose_X,Avg_Glucose_Y,Glucose_Spatial_Std,Glucose_Per_Bacteria,ATP_Per_Glucose,Metabolites_Per_Glucose,ATP_Per_Bacteria,Metabolites_Per_Bacteria
58,2025-06-20 17:09:09.104804,31,84,767,1.000,99.00,98.50,114.00,3069.00,2.74,558,18.00,0.251,0.000011,0.000012,0.000012,0.000010,0.000008,0.000013,2.71,36.54,9.13,99.00,18.00
59,2025-06-20 17:09:09.105076,31,84,767,1.000,98.50,98.00,113.50,3053.50,2.74,558,18.00,0.251,0.000011,0.000012,0.000012,0.000010,0.000008,0.000013,2.71,36.35,9.13,98.50,18.00
60,2025-06-20 17:09:09.105322,31,143,767,1.000,98.00,97.50,113.00,3038.00,2.74,558,18.00,0.250,0.000011,0.000011,0.000012,0.000010,0.000011,0.000012,4.61,21.24,5.36,98.00,18.00
61,2025-06-20 17:09:09.105562,31,140,767,1.000,97.50,97.00,112.50,3022.50,2.74,558,18.00,0.249,0.000010,0.000011,0.000012,0.000010,0.000011,0.000013,4.52,21.59,5.48,97.50,18.00
62,2025-06-20 17:09:09.105798,31,137,767,1.000,97.00,96.50,112.00,3007.00,2.74,558,18.00,0.248,0.000010,0.000012,0.000012,0.000010,0.000011,0.000013,4.42,21.95,5.60,97.00,18.00
63,2025-06-20 17:09:09.106041,31,134,767,1.000,96.50,96.00,111.50,2991.50,2.74,558,18.00,0.247,0.000011,0.000011,0.000012,0.000010,0.000010,0.000013,4.32,22.32,5.72,96.50,18.00
64,2025-06-20 17:09:09.106275,31,131,767,1.000,96.00,95.50,111.00,2976.00,2.74,558,18.00,0.246,0.000011,0.000011,0.000012,0.000010,0.000008,0.000013,4.23,22.72,5.85,96.00,18.00
65,2025-06-20 17:09:09.106515,31,123,767,1.000,95.50,95.00,110.50,2960.50,2.74,558,18.00,0.245,0.000010,0.000011,0.000012,0.000010,0.000008,0.000013,3.97,24.07,6.24,95.50,18.00
66,2025-06-20 17:09:09.106742,31,116,767,1.000,95.00,94.50,110.00,2945.00,2.74,558,18.00,0.244,0.000010,0.000011,0.000012,0.000010,0.000007,0.000013,3.74,25.39,6.61,95.00,18.00
67,2025-06-20 17:09:09.106969,30,107,767,0.968,94.52,94.00,109.50,2835.50,2.78,540,18.00,0.243,0.000010,0.000012,0.000012,0.000010,0.000007,0.000012,3.57,26.50,7.17,94.52,18.00
68,2025-06-20 17:09:09.107189,29,99,767,0.967,94.03,93.50,109.00,2727.00,2.83,522,18.00,0.243,0.000011,0.000012,0.000012,0.000011,0.000007,0.000012,3.41,27.55,7.75,94.03,18.00
69,2025-06-20 17:09:09.107407,29,95,767,1.000,93.53,93.00,108.50,2712.50,2.83,522,18.00,0.242,0.000011,0.000012,0.000012,0.000012,0.000007,0.000012,3.28,28.55,8.07,93.53,18.00
70,2025-06-20 17:09:09.107624,27,90,767,0.931,93.07,92.50,108.00,2513.00,2.93,486,18.00,0.241,0.000011,0.000012,0.000012,0.000011,0.000007,0.000012,3.33,27.92,8.52,93.07,18.00
71,2025-06-20 17:09:09.107839,26,83,767,0.963,92.60,92.00,107.50,2407.50,2.98,468,18.00,0.240,0.000011,0.000012,0.000012,0.000010,0.000007,0.000013,3.19,29.01,9.24,92.60,18.00
72,2025-06-20 17:09:09.108059,26,78,767,1.000,92.10,91.50,107.00,2394.50,2.98,468,18.00,0.239,0.000011,0.000011,0.000012,0.000009,0.000008,0.000013,3.00,30.70,9.83,92.10,18.00
73,2025-06-20 17:09:09.108271,25,76,767,0.962,91.62,91.00,106.50,2290.50,3.04,450,18.00,0.238,0.000011,0.000012,0.000012,0.000008,0.000008,0.000012,3.04,30.14,10.09,91.62,18.00
74,2025-06-20 17:09:09.108493,24,76,767,0.960,91.15,90.50,106.00,2187.50,3.10,432,18.00,0.237,0.000012,0.000012,0.000012,0.000008,0.000007,0.000013,3.17,28.78,10.09,91.15,18.00
75,2025-06-20 17:09:09.108706,24,73,767,1.000,90.65,90.00,105.50,2175.50,3.10,432,18.00,0.236,0.000012,0.000012,0.000012,0.000009,0.000008,0.000013,3.04,29.80,10.51,90.65,18.00
76,2025-06-20 17:09:09.108920,24,71,767,1.000,90.15,89.50,105.00,2163.50,3.10,432,18.00,0.236,0.000012,0.000012,0.000012,0.000010,0.000007,0.000013,2.96,30.47,10.80,90.15,18.00
77,2025-06-20 17:09:09.109128,24,70,767,1.000,89.65,89.00,104.50,2151.50,3.10,432,18.00,0.235,0.000012,0.000012,0.000011,0.000011,0.000007,0.000012,2.92,30.74,10.96,89.65,18.00
78,2025-06-20 17:09:09.109337,23,67,767,0.958,89.17,88.50,104.00,2051.00,3.16,414,18.00,0.234,0.000012,0.000012,0.000012,0.000013,0.000008,0.000011,2.91,30.61,11.45,89.17,18.00
79,2025-06-20 17:09:09.109558,20,65,767,0.870,88.77,88.00,103.50,1775.50,3.38,360,18.00,0.233,0.000012,0.000013,0.000011,0.000012,0.000008,0.000011,3.25,27.32,11.80,88.77,18.00
80,2025-06-20 17:09:09.109773,20,103,767,1.000,88.27,87.50,103.00,1765.50,3.38,360,18.00,0.232,0.000012,0.000013,0.000011,0.000010,0.000011,0.000012,5.15,17.14,7.45,88.27,18.00
81,2025-06-20 17:09:09.109985,20,100,767,1.000,87.77,87.00,102.50,1755.50,3.38,360,18.00,0.231,0.000012,0.000013,0.000011,0.000009,0.000011,0.000012,5.00,17.55,7.67,87.77,18.00
82,2025-06-20 17:09:09.110218,20,98,767,1.000,87.27,86.50,102.00,1745.50,3.38,360,18.00,0.231,0.000012,0.000012,0.000012,0.000009,0.000010,0.000012,4.90,17.81,7.83,87.27,18.00
83,2025-06-20 17:09:09.110448,20,97,767,1.000,86.77,86.00,101.50,1735.50,3.38,360,18.00,0.230,0.000012,0.000012,0.000012,0.000009,0.000009,0.000013,4.85,17.89,7.91,86.77,18.00
84,2025-06-20 17:09:09.110663,20,96,767,1.000,86.27,85.50,101.00,1725.50,3.38,360,18.00,0.229,0.000011,0.000012,0.000012,0.000009,0.000008,0.000013,4.80,17.97,7.99,86.27,18.00
85,2025-06-20 17:09:09.110875,20,93,767,1.000,85.77,85.00,100.50,1715.50,3.38,360,18.00,0.228,0.000011,0.000012,0.000012,0.000010,0.000008,0.000012,4.65,18.45,8.25,85.77,18.00
86,2025-06-20 17:09:09.111089,20,88,767,1.000,85.27,84.50,100.00,1705.50,3.38,360,18.00,0.227,0.000011,0.000012,0.000012,0.000011,0.000008,0.000013,4.40,19.38,8.72,85.27,18.00
87,2025-06-20 17:09:09.111305,19,81,767,0.950,84.82,84.00,99.50,1611.50,3.46,342,18.00,0.226,0.000011,0.000013,0.000012,0.000010,0.000008,0.000013,4.26,19.90,9.47,84.82,18.00
88,2025-06-20 17:09:09.111519,19,78,767,1.000,84.32,83.50,99.00,1602.00,3.46,342,18.00,0.226,0.000011,0.000013,0.000011,0.000009,0.000008,0.000013,4.11,20.54,9.83,84.32,18.00
89,2025-06-20 17:09:09.111732,19,68,768,1.000,89.26,83.00,186.50,1696.00,23.18,327,17.21,0.225,0.000011,0.000013,0.000011,0.000008,0.000009,0.000013,3.58,24.94,11.29,89.26,17.21
90,2025-06-20 17:09:09.111945,18,63,769,0.947,88.89,82.50,182.00,1600.00,22.86,310,17.22,0.224,0.000012,0.000013,0.000011,0.000009,0.000009,0.000012,3.50,25.40,12.21,88.89,17.22
91,2025-06-20 17:09:09.112153,18,59,770,1.000,88.17,82.00,177.50,1587.00,21.95,311,17.28,0.224,0.000012,0.000013,0.000011,0.000011,0.000008,0.000013,3.28,26.90,13.05,88.17,17.28
92,2025-06-20 17:09:09.112373,17,58,771,0.944,87.79,81.50,173.00,1492.50,21.61,294,17.29,0.223,0.000012,0.000013,0.000010,0.000011,0.000007,0.000014,3.41,25.73,13.29,87.79,17.29
93,2025-06-20 17:09:09.112585,17,56,771,1.000,87.06,81.00,168.50,1480.00,20.68,295,17.35,0.222,0.000012,0.000013,0.000011,0.000011,0.000007,0.000013,3.29,26.43,13.77,87.06,17.35
94,2025-06-20 17:09:09.112796,17,55,772,1.000,86.32,80.50,164.00,1467.50,19.76,296,17.41,0.221,0.000012,0.000013,0.000011,0.000009,0.000007,0.000013,3.24,26.68,14.04,86.32,17.41
95,2025-06-20 17:09:09.113044,17,55,772,1.000,85.59,80.00,159.50,1455.00,18.83,297,17.47,0.221,0.000012,0.000013,0.000011,0.000008,0.000008,0.000013,3.24,26.45,14.04,85.59,17.47
96,2025-06-20 17:09:09.113254,17,51,773,1.000,84.85,79.50,155.00,1442.50,17.91,298,17.53,0.220,0.000012,0.000014,0.000011,0.000009,0.000008,0.000012,3.00,28.28,15.16,84.85,17.53
97,2025-06-20 17:09:09.113459,17,51,774,1.000,84.12,79.00,150.50,1430.00,16.99,299,17.59,0.219,0.000012,0.000013,0.000011,0.000009,0.000007,0.000011,3.00,28.04,15.18,84.12,17.59
98,2025-06-20 17:09:09.113662,17,49,775,1.000,83.38,78.50,146.00,1417.50,16.07,300,17.65,0.218,0.000012,0.000014,0.000011,0.000009,0.000007,0.000013,2.88,28.93,15.82,83.38,17.65
99,2025-06-20 17:09:09.113867,16,43,776,0.941,82.94,78.00,141.50,1327.00,15.58,283,17.69,0.218,0.000012,0.000014,0.000011,0.000010,0.000007,0.000013,2.69,30.86,18.05,82.94,17.69
